"IdSensore","NomeTipoSensore","UnitaMisura","Idstazione","NomeStazione","Quota","Provincia","Comune","Storico","DataStart","DataStop","Utm_Nord","UTM_Est","lat","lng","Location"
"20401","Benzene","µg/m³","571","Bormio v.Monte Braulio","1225","SO","Bormio","N","21/02/2017",,"5147136","605598","46.46952397","10.37543275","POINT (10.37543275 46.46952397)"
"9739","PM10 (SM2005)","µg/m³","608","Codogno v.Trento","59","LO","Codogno","N","09/04/2005",,"5000892","554872","45.15937678","9.69815314","POINT (9.69815314 45.15937678)"
"6886","Biossido di Zolfo","µg/m³","666","Porto Mantovano v. Gianni Rodari","29","MN","Porto Mantovano","S","26/09/2003","04/01/2012","5006244","641169","45.19554761","10.79727231","POINT (10.79727231 45.19554761)"
"10073","Ossidi di Azoto","µg/m³","694","Salionze v. Campagna Rossa","109","VR","Salionze","S","01/12/2006","01/08/2020","5029205","635124","45.40331803","10.72660167","POINT (10.72660167 45.40331803)"
"10043","PM10 (SM2005)","µg/m³","687","Ferno v.Di Dio","215","VA","Ferno","N","29/11/2006",,"5051773","481053","45.61924753","8.75697656","POINT (8.75697656 45.61924753)"
"6813","Biossido di Azoto","µg/m³","656","Gambara v.Parma","47","BS","Gambara","N","16/02/1990",,"5011493","601945","45.24955194","10.29913","POINT (10.29913 45.24955194)"
"10171","Ozono","µg/m³","703","Schivenoglia v. Malpasso",,"MN","Schivenoglia","N","29/11/2006",,"4986922","663580","45.01688067","11.07609728","POINT (11.07609728 45.01688067)"
"10283","Particelle sospese PM2.5","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","N","29/03/2007",,"5036190","518405","45.478347","9.231667","POINT (9.231667 45.478347)"
"12016","Ossidi di Azoto","µg/m³","1297","Spinadesco v.Battisti","48","CR","Spinadesco","N","08/02/2011",,"5000087","573153","45.15047339","9.93059842","POINT (9.93059842 45.15047339)"
"5693","Biossido di Zolfo","µg/m³","600","Lodi v.Vignati","80","LO","Lodi","N","30/12/1999",,"5017060","538042","45.30601628","9.48527511","POINT (9.48527511 45.30601628)"
"5697","Biossido di Zolfo","µg/m³","613","Spino d'Adda SP1","80","CR","Spino d'Adda","S","13/01/2000","13/04/2006","5026365","538310","45.3897555","9.48941425","POINT (9.48941425 45.3897555)"
"5811","Monossido di Carbonio","mg/m³","598","San Rocco al Porto v.Matteotti","50","LO","San Rocco al Porto","S","25/02/2002","31/12/2021","4992297","555154","45.08199189","9.70079278","POINT (9.70079278 45.08199189)"
"5626","Biossido di Zolfo","µg/m³","537","Lainate v.Mengato","176","MI","Lainate","S","25/09/1991","18/10/2000","5046000","502013","45.56754025","9.02580025","POINT (9.02580025 45.56754025)"
"9877","Biossido di Azoto","µg/m³","674","Monza v.Machiavelli","162","MB","Monza","N","21/10/2005",,"5047450","521343","45.574117","9.263808","POINT (9.263808 45.574117)"
