IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
6412,Ossidi di Azoto,627,Cremona P.zza Cadorna,CR,Cremona,45.13195042,10.01574064
12692,Cadmio,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
6884,Ozono,665,Viadana v. Cavalli,MN,Viadana,44.92469933,10.51750417
12589,Arsenico,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
10013,Particelle sospese PM2.5,576,Merate v. Madonna di Loreto,LC,Merate,45.69795956,9.40619194
6936,PM10 (SM2005),596,Osio Sotto v.per Levate,BG,Osio Sotto,45.62055568,9.61173782
6956,PM10 (SM2005),528,Milano Verziere,MI,Milano,45.46334886,9.19532511
10038,Biossido di Azoto,687,Ferno v.Di Dio,VA,Ferno,45.61924753,8.75697656
9985,Particelle sospese PM2.5,600,Lodi v.Vignati,LO,Lodi,45.30601628,9.48527511
6364,Ossidi di Azoto,517,Turbigo,MI,Turbigo,45.52655611,8.73650211
10484,PM10 (SM2005),1266,Bertonico v.Moro,LO,Bertonico,45.23349689,9.66625758
5960,Ozono,629,Crema v.XI febbraio,CR,Crema,45.36631075,9.70395139
9983,Particelle sospese PM2.5,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
6831,Ossidi di Azoto,657,Lonato del Garda v.del Marchesino,BS,Lonato del Garda,45.46375819,10.48078183
9890,PM10 (SM2005),674,Monza v.Machiavelli,MB,Monza,45.574117,9.263808
6869,Benzene,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
6954,PM10 (SM2005),661,Rezzato v.De Gasperi,BS,Rezzato,45.51571417,10.33624003
10197,Particelle sospese PM2.5,697,Borgofranco sul Po loc. Bonizzo,MN,Borgofranco sul Po,45.04650286,11.18094889
6685,Biossido di Azoto,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
10301,Benzene,574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
6386,Ossidi di Azoto,558,Busto Arsizio  Accam,VA,Busto Arsizio,45.58289429,8.84216546
20497,Benzene,1801,Brescia v.Tartaglia,BS,Brescia,45.54264789,10.21120522
12625,Arsenico,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
10165,Ossidi di Azoto,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
10432,Biossido di Azoto,1264,Sondrio v.Paribelli,SO,Sondrio,46.16785664,9.87921169
5704,Biossido di Zolfo,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
10095,Ossidi di Azoto,697,Borgofranco sul Po loc. Bonizzo,MN,Borgofranco sul Po,45.04650286,11.18094889
12691,Arsenico,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
5950,Biossido di Azoto,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,CR,Corte de' Cortesi con Cignone,45.27848997,10.00620528
6260,Ossidi di Azoto,607,Abbadia Cerreto v. Fanfulla,LO,Abbadia Cerreto,45.30950506,9.58580022
6208,Ossidi di Azoto,595,Filago v.Don Milani,BG,Filago,45.63387247,9.55609572
6864,Ossidi di Azoto,661,Rezzato v.De Gasperi,BS,Rezzato,45.51571417,10.33624003
5742,Ozono,572,Morbegno v.Cortivacci,SO,Morbegno,46.135486,9.56624
10584,Ozono,1274,Perledo P.zza della stazione,LC,Perledo,46.01583272,9.28641942
10320,PM10 (SM2005),548,Milano v.Senato,MI,Milano,45.470501,9.19746075
10025,Ozono,685,Calusco d'Adda v. Caduti sul Lavoro,BG,Calusco d'Adda,45.69043647,9.48426111
9965,PM10 (SM2005),609,Casirate d'Adda v. Cimitero,BG,Casirate d'Adda,45.49822794,9.55624181
10343,PM10 (SM2005),708,Parona v. della Miseria,PV,Parona,45.28194289,8.75433614
12669,Cadmio,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
10035,Benzene,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
29041,Benzene,561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
20772,PM10 (SM2005),683,Cassano d'Adda 2-v.Milano,MI,Cassano d'Adda,45.52647322,9.515991
9857,Biossido di Azoto,673,Voghera v.Pozzoni,PV,Voghera,44.99955481,9.00844961
6804,Ozono,654,Sarezzo v.Minelli,BS,Sarezzo,45.64962671,10.20509022
5561,Biossido di Azoto,558,Busto Arsizio  Accam,VA,Busto Arsizio,45.58289429,8.84216546
